TreeDepth,PID,Process,Value,Privilege,Attributes,Description
0,404,wininit.exe,31,SeTrustedCredManAccessPrivilege,,Access Credential Manager as a trusted caller
0,404,wininit.exe,32,SeRelabelPrivilege,,Modify the mandatory integrity level of an object
0,404,wininit.exe,33,SeIncreaseWorkingSetPrivilege,Default,Allocate more memory for user applications
0,404,wininit.exe,34,SeTimeZonePrivilege,Default,Adjust the time zone of the computer's internal clock
0,404,wininit.exe,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,404,wininit.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,412,csrss.exe,2,SeCreateTokenPrivilege,Present,Create a token object
0,412,csrss.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,412,csrss.exe,4,SeLockMemoryPrivilege,"Present,Enabled,Default",Lock pages in memory
0,412,csrss.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,412,csrss.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,412,csrss.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,412,csrss.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,412,csrss.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,412,csrss.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,412,csrss.exe,11,SeSystemProfilePrivilege,"Present,Enabled,Default",Profile system performance
0,412,csrss.exe,12,SeSystemtimePrivilege,Present,Change the system time
0,412,csrss.exe,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,412,csrss.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,412,csrss.exe,15,SeCreatePagefilePrivilege,"Present,Enabled,Default",Create a pagefile
0,412,csrss.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,412,csrss.exe,17,SeBackupPrivilege,Present,Backup files and directories
0,412,csrss.exe,18,SeRestorePrivilege,Present,Restore files and directories
0,412,csrss.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,412,csrss.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,412,csrss.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,412,csrss.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,412,csrss.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,412,csrss.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,412,csrss.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,412,csrss.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,412,csrss.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,412,csrss.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,412,csrss.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,412,csrss.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,412,csrss.exe,31,SeTrustedCredManAccessPrivilege,,Access Credential Manager as a trusted caller
0,412,csrss.exe,32,SeRelabelPrivilege,Present,Modify the mandatory integrity level of an object
0,412,csrss.exe,33,SeIncreaseWorkingSetPrivilege,"Present,Enabled,Default",Allocate more memory for user applications
0,412,csrss.exe,34,SeTimeZonePrivilege,"Present,Enabled,Default",Adjust the time zone of the computer's internal clock
0,412,csrss.exe,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,412,csrss.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,476,services.exe,2,SeCreateTokenPrivilege,,Create a token object
0,476,services.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,476,services.exe,4,SeLockMemoryPrivilege,"Present,Enabled,Default",Lock pages in memory
0,476,services.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,476,services.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,476,services.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,476,services.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,476,services.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,476,services.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,476,services.exe,11,SeSystemProfilePrivilege,"Present,Enabled,Default",Profile system performance
0,476,services.exe,12,SeSystemtimePrivilege,Present,Change the system time
0,476,services.exe,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,476,services.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,476,services.exe,15,SeCreatePagefilePrivilege,"Present,Enabled,Default",Create a pagefile
0,476,services.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,476,services.exe,17,SeBackupPrivilege,Present,Backup files and directories
0,476,services.exe,18,SeRestorePrivilege,Present,Restore files and directories
0,476,services.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,476,services.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,476,services.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,476,services.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,476,services.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,476,services.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,476,services.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,476,services.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,476,services.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,476,services.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,476,services.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,476,services.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,476,services.exe,31,SeTrustedCredManAccessPrivilege,,Access Credential Manager as a trusted caller
0,476,services.exe,32,SeRelabelPrivilege,,Modify the mandatory integrity level of an object
0,476,services.exe,33,SeIncreaseWorkingSetPrivilege,"Present,Enabled,Default",Allocate more memory for user applications
0,476,services.exe,34,SeTimeZonePrivilege,"Present,Enabled,Default",Adjust the time zone of the computer's internal clock
0,476,services.exe,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,476,services.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,484,lsass.exe,2,SeCreateTokenPrivilege,"Present,Enabled",Create a token object
0,484,lsass.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,484,lsass.exe,4,SeLockMemoryPrivilege,"Present,Enabled,Default",Lock pages in memory
0,484,lsass.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,484,lsass.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,484,lsass.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,484,lsass.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,484,lsass.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,484,lsass.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,484,lsass.exe,11,SeSystemProfilePrivilege,"Present,Enabled,Default",Profile system performance
0,484,lsass.exe,12,SeSystemtimePrivilege,Present,Change the system time
0,484,lsass.exe,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,484,lsass.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,484,lsass.exe,15,SeCreatePagefilePrivilege,"Present,Enabled,Default",Create a pagefile
0,484,lsass.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,484,lsass.exe,17,SeBackupPrivilege,"Present,Enabled",Backup files and directories
0,484,lsass.exe,18,SeRestorePrivilege,"Present,Enabled",Restore files and directories
0,484,lsass.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,484,lsass.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,484,lsass.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,484,lsass.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,484,lsass.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,484,lsass.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,484,lsass.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,484,lsass.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,484,lsass.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,484,lsass.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,484,lsass.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,484,lsass.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,484,lsass.exe,31,SeTrustedCredManAccessPrivilege,Present,Access Credential Manager as a trusted caller
0,484,lsass.exe,32,SeRelabelPrivilege,Present,Modify the mandatory integrity level of an object
0,484,lsass.exe,33,SeIncreaseWorkingSetPrivilege,"Present,Enabled,Default",Allocate more memory for user applications
0,484,lsass.exe,34,SeTimeZonePrivilege,"Present,Enabled,Default",Adjust the time zone of the computer's internal clock
0,484,lsass.exe,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,484,lsass.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,492,lsm.exe,2,SeCreateTokenPrivilege,,Create a token object
0,492,lsm.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,492,lsm.exe,4,SeLockMemoryPrivilege,"Present,Enabled,Default",Lock pages in memory
0,492,lsm.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,492,lsm.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,492,lsm.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,492,lsm.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,492,lsm.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,492,lsm.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,492,lsm.exe,11,SeSystemProfilePrivilege,"Present,Enabled,Default",Profile system performance
0,492,lsm.exe,12,SeSystemtimePrivilege,Present,Change the system time
0,492,lsm.exe,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,492,lsm.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,492,lsm.exe,15,SeCreatePagefilePrivilege,"Present,Enabled,Default",Create a pagefile
0,492,lsm.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,492,lsm.exe,17,SeBackupPrivilege,Present,Backup files and directories
0,492,lsm.exe,18,SeRestorePrivilege,Present,Restore files and directories
0,492,lsm.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,492,lsm.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,492,lsm.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,492,lsm.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,492,lsm.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,492,lsm.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,492,lsm.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,492,lsm.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,492,lsm.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,492,lsm.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,492,lsm.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,492,lsm.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,492,lsm.exe,31,SeTrustedCredManAccessPrivilege,,Access Credential Manager as a trusted caller
0,492,lsm.exe,32,SeRelabelPrivilege,Present,Modify the mandatory integrity level of an object
0,492,lsm.exe,33,SeIncreaseWorkingSetPrivilege,"Present,Enabled,Default",Allocate more memory for user applications
0,492,lsm.exe,34,SeTimeZonePrivilege,"Present,Enabled,Default",Adjust the time zone of the computer's internal clock
0,492,lsm.exe,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,492,lsm.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,504,winlogon.exe,2,SeCreateTokenPrivilege,,Create a token object
0,504,winlogon.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,504,winlogon.exe,4,SeLockMemoryPrivilege,Default,Lock pages in memory
0,504,winlogon.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,504,winlogon.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,504,winlogon.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,504,winlogon.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,504,winlogon.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,504,winlogon.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,504,winlogon.exe,11,SeSystemProfilePrivilege,Default,Profile system performance
0,504,winlogon.exe,12,SeSystemtimePrivilege,,Change the system time
0,504,winlogon.exe,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,504,winlogon.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,504,winlogon.exe,15,SeCreatePagefilePrivilege,Default,Create a pagefile
0,504,winlogon.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,504,winlogon.exe,17,SeBackupPrivilege,Present,Backup files and directories
0,504,winlogon.exe,18,SeRestorePrivilege,Present,Restore files and directories
0,504,winlogon.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,504,winlogon.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,504,winlogon.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,504,winlogon.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,504,winlogon.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,504,winlogon.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,504,winlogon.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,504,winlogon.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,504,winlogon.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,504,winlogon.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,504,winlogon.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,504,winlogon.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,504,winlogon.exe,31,SeTrustedCredManAccessPrivilege,Present,Access Credential Manager as a trusted caller
0,504,winlogon.exe,32,SeRelabelPrivilege,,Modify the mandatory integrity level of an object
0,504,winlogon.exe,33,SeIncreaseWorkingSetPrivilege,Default,Allocate more memory for user applications
0,504,winlogon.exe,34,SeTimeZonePrivilege,Default,Adjust the time zone of the computer's internal clock
0,504,winlogon.exe,35,SeCreateSymbolicLinkPrivilege,Default,Required to create a symbolic link
0,504,winlogon.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,628,svchost.exe,2,SeCreateTokenPrivilege,,Create a token object
0,628,svchost.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,628,svchost.exe,4,SeLockMemoryPrivilege,Default,Lock pages in memory
0,628,svchost.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,628,svchost.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,628,svchost.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,628,svchost.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
